CAMELS_site	lat	lon	GOF_stat	seJack	seBoot	p05	p50	p95	score	biasJack	biasBoot	seJab	cor
1013500.0	47.0117	-68.5655	NSE	0.010630270329045025	0.010577781044124686	0.869213236634964	0.8874708403785594	0.903734593690975	0.886875992740696	-0.0006195206347898718	-9.88329406187427e-05	0.03545255353430354	0.9449645491754158
1013500.0	47.0117	-68.5655	KGE	0.01689475303630415	0.016035639308647903	0.8587455840850002	0.8871394266160763	0.9108424373042188	0.8879753193481131	-0.0023200638519552674	-0.0022554304405580927	0.051610678051968555	0.9449645491754158
1013500.0	47.0117	-68.5655	mKGE	0.015269524374166626	0.015030068634744828	0.8552015381246514	0.8817701731039997	0.9052455295677667	0.8831519593513734	-0.0016408503212305137	-0.002076963554076272	0.05087012247421057	0.9449645491754158
1013500.0	47.0117	-68.5655	MFM	0.017416767803660735	0.010360716360434683	0.8297626796586908	0.8426851747862304	0.8626069365209099	0.8431975390777536	0.026905523767748907	0.0016924454189434224	0.034733714841117855	0.9449645491754158
1013500.0	47.0117	-68.5655	RMSE	0.03368731638849273	0.03209914495811807	0.6038704175780897	0.6548464255662059	0.7113797696740907	0.6548251464838731	-0.0024144301164604753	0.0007506140465709521	0.10848731290735646	0.9449645491754158
1013500.0	47.0117	-68.5655	NRMSE	0.016630811317453784	0.016413040997663657	0.36430583947844214	0.3880164193385273	0.4182840600694296	0.38894960363121184	-0.0006949240646515475	5.12612401025736e-05	0.0557141010510683	0.9449645491754158
1022500.0	44.7969	-68.0731	NSE	0.030828666153597785	0.03042095783310486	0.6756511967028201	0.7312402472206299	0.7765057336548344	0.7283563026783877	-0.0015007756305965847	0.0011724819843084155	0.10329320779451999	0.8570265198562822
1022500.0	44.7969	-68.0731	KGE	0.020148974628094167	0.02004355631173569	0.7420533356460925	0.7754264455251284	0.8093860565108639	0.7749838367249108	-0.0012788689846979784	0.000672928105725501	0.06600685517020587	0.8570265198562822
1022500.0	44.7969	-68.0731	mKGE	0.015632558436774958	0.015944734424083538	0.7922206586000937	0.8193924472027688	0.8449413787599054	0.8192557441248057	-0.001916447671390653	-0.00041208622678579054	0.052879366836400085	0.8570265198562822
1022500.0	44.7969	-68.0731	MFM	0.010269887809197407	0.008925017609900861	0.7818568147434557	0.7936213471729594	0.8100539878967368	0.7943095874623538	0.007285429910341756	0.00019537561849880536	0.02983879383591943	0.8570265198562822
1022500.0	44.7969	-68.0731	RMSE	0.08930639285072595	0.08960452801118877	1.1372402017695884	1.2834102732870747	1.4386944453036423	1.2958320564546826	0.005894581908499896	-0.013344706877001178	0.30008891274769994	0.8570265198562822
1022500.0	44.7969	-68.0731	NRMSE	0.03964651018089298	0.03918641097388357	0.5407204370619024	0.6006864997520359	0.6678239651709748	0.6044783786408781	-0.00039360095913609783	-0.0029891289525317832	0.126848892499197	0.8570265198562822
1030500.0	45.8053	-68.1499	NSE	0.016153429175760514	0.015588915770717249	0.7788452890549791	0.8056176513402881	0.8302796792319828	0.8024434865744514	-0.005397041968293159	0.003007437638596344	0.05153982006026056	0.8974733197377812
1030500.0	45.8053	-68.1499	KGE	0.016592069859573656	0.01589467261054241	0.8204456029366494	0.8473444148589782	0.8718967168725611	0.8431890990489352	-0.005791942378006065	0.0038030287724168943	0.05174757109641031	0.8974733197377812
1030500.0	45.8053	-68.1499	mKGE	0.010068401786558755	0.009851342922029889	0.8573710475447387	0.8746046100302585	0.8902186177468714	0.8730086522099003	-0.005604708970904593	0.0012389851694153409	0.032320034657341457	0.8974733197377812
1030500.0	45.8053	-68.1499	MFM	0.00539322394888078	0.005756031651641896	0.8194876612557501	0.8293068495266782	0.8377192930010386	0.8298300446970333	-0.007288771393855309	-0.0005901869678641702	0.018702504109652084	0.8974733197377812
1030500.0	45.8053	-68.1499	RMSE	0.045064461488638574	0.04434077084375419	0.9459265364405307	1.0181105917234436	1.0922003177714685	1.0317538493456122	0.013943948651010896	-0.014832694780352762	0.14645323172312216	0.8974733197377812
1030500.0	45.8053	-68.1499	NRMSE	0.022869696560840303	0.023081037991172497	0.5185020695843953	0.5510225691923041	0.5927801283980795	0.5556584353195423	0.004909926191248082	-0.0035315245805654927	0.07536120721146594	0.8974733197377812
1031500.0	45.2357	-69.5812	NSE	0.0193300768828137	0.019150998257877905	0.7234270219288066	0.7595586745758915	0.7860897332870829	0.7576469930637096	-0.0022015146741455327	-0.00037383356205300533	0.06530968227108772	0.8742431351608598
1031500.0	45.2357	-69.5812	KGE	0.020989138452842247	0.020295530653820833	0.755830739740809	0.7920803306735653	0.8221910585296991	0.7916394265649788	-0.0020184805609423373	-0.0005946056055139426	0.06725480666410366	0.8742431351608598
1031500.0	45.2357	-69.5812	mKGE	0.012856106385314963	0.012617207090172299	0.7909350492563442	0.8134856907946995	0.8319262722533988	0.8159089589429744	-0.0034064921357576106	-0.003196649980102051	0.041685817892909344	0.8742431351608598
1031500.0	45.2357	-69.5812	MFM	0.020222138202933594	0.01041001962639462	0.7687524557931091	0.7787136031207417	0.7996499985382911	0.7745557056117611	0.020063380868925673	0.007503124865768762	0.0336941381499353	0.8742431351608598
1031500.0	45.2357	-69.5812	RMSE	0.07527267361105552	0.07410746102965621	1.5355948621354356	1.658549063723897	1.7826128452923187	1.659607431462136	-0.0016801683834888337	-0.0011997055379808774	0.24505392536529638	0.8742431351608598
1031500.0	45.2357	-69.5812	NRMSE	0.04309113816216974	0.0425196159079535	0.7551013060073613	0.8187635096816799	0.8961180619079459	0.8214400638325435	0.0007868137473464598	-0.0006316556536153373	0.14627353763102707	0.8742431351608598
